schwimmen,swim
Motorrad,motorcycle
Fahrt,journey
wien,Vienna
Ratgeber,adviser
spanien,Spain <.es>
Transport,transport
Strecke,stretch
echt,"true [real, genuine]"
fertig,ready
Hose,Unverified dacks [Aus.]
tragen,carry sth.
Kleidung,clothes
Kosmetik,Unverified cosmesis
trägst,"Lamb of God, you take away the sin of the world, grant us peace. [Church of England liturgy]"
dein,your [determiner]
niemand,nobody
beiden,the two of them
beide,either
vier,four
eins,one
zwei,two
fünf,five
drei,three
erstes,prime
Summe,total
Mensch,Gosh! [coll.]
Freunden,amicable
weißes,white [sl.]
Rot,red
Bau,constructional
Dach,roof
wahrscheinlich,probably
nützlich,useful
gesund,healthy
möglich,possible
schwer,heavy
trinken,drink
Fahrzeug,automotive
Tour,constantly
Stadtplan,city map
Arzt,doctor
Schülerin,pupil [female]
Schülerinnen,schoolgirls
Professor,professor
klein,small
Schüler,pupil
gelb,yellow
schwarz,black
grün,green
blau,blue
rot,red
schwarzes,bad seed
Farbe,colour [Br.]
Damen,Ladies [restroom / lavatory door sign]
Namen,names
Geschlecht,gender
Herren,"men [toilet symbol, pictogram]"
Herr,Mister ...
ihr,their [determiner]
danken,thank
vielen,Ta ever so much ... [Br.]
Frage,question
wem,whom
andere,another
alles,everything
deinen,yours
eure,Your Excellency
dieser,this
ihrer,theirs
Frauen,female
Männer,men
Jungen,boyish
Pferd,horse
Ente,duck
Kind,kind
Apfel,apple [Malus domestica]
isst,[you] eat
Junge,boy
Mann,Dude! [Am.] [Aus.] [coll.]
Frau,one
Weber,weaver
stark,strong
frei,free
Familie,family
Eltern,parents
Partner,Unverified conjugate
Schwester,Nurse!
Sohne,undefined method `css' for nil:NilClass
reichen,hand
rennst,undefined method `css' for nil:NilClass
Bier,lay on a bier
Kartoffel,potato [attr.]
Zitrone,lemon [Citrus limon]
Rezept,recipe
haben,[we/they/you] have
guten,Good evening!
gutem,with (good) reason
keinen,No frigging way. <NFW> [coll.]
Professoren,professors
guter,in cheerful spirits
besten,bests
sowie,plus
da,since [because]
sobald,once [as soon as]
nachdem,after
Mitarbeitern,enticement of employees
meiner,mine
seinem,at one's destination
ihrem,their [determiner] [masculine / neuter indirect object]
seiner,his [possessive]
Entschuldigung,Sorry! <sry>
hoch,high
Lampe,lamp
Stühle,chairs
was,what
Antwort,reply
viele,many
Kleider,clothes
trägt,sb. bears [carries]
Kleidern,be well off for clothes
größere,major
große,the Great
großbritannien,Britain
Wege,lanes
Flüge,flights
positiv,affirmative
Wein,tartaric
Salz,salt
Schokolade,chocolate
Studentinnen,students [female]
Mitarbeiter,staff
Ärzte,physicians
Mitarbeiterin,employee [female]
Geschäftsführer,manager
Ärztin,doctor [female]
Lehrerinnen,teachers [female]
Koch,culinary
Bedienung,Waiter!
Verkäufer,vendor
Beruf,occupation
grünen,blossom
schwarzen,black-browed
Taschen,pocket [attr.] [e.g. dictionary]
Jacken,jackets
Hemd,shirt
Hemden,shirts
Bauer,peasant
Paar,couple [treated as sg. or pl.]
esst,[you] eat
Tiere,animals
Tische,tables
Sofa,sofa
Farben,-hued [e.g. golden-hued]
roter,commie [pej.] [coll.]
roten,in the red
Schweizer,Swiss
Freund,friend
Baby,baby [attr.] [of an animal: young]
Fahrer,driver
Gäste,guests
Anfänger,beginner
Englisch,"English <Eng., Engl.>"
Arbeitgeber,employer <ER>
Leiter,ladder
grüne,green [female member of Green Party]
weißen,chalk [wall]
Lehrerin,teacher [female]
Bürgermeister,mayoral
Bauern,"peasant [attr.] [e.g. boy, family, revolt]"
Professorin,professor [female]
Besuche,visits
Ferien,vacation [Am.]
Auto,auto-aggressive
Besuch,visit
Trainer,coach
Meister,-master
Senioren,the elderly
Senior,senior
dieses,this year
anderes,another
süß,sweet
Studenten,students
Autoren,authors
trinkst,undefined method `css' for nil:NilClass
welcher,which
welchem,On what day?
kostenlos,complimentary [free of charge]
klar,clear
fest,firm
Großmutter,grandmother
unsere,our mode of dealing
alle,all
Leiterin,manageress
Lehrer,teacher
Maus,mouse
Erwachsene,adults
Saft,juice
Mittagessen,have lunch
Händler,monger
Ärzten,conference of doctors
blauen,turn blue
Bushaltestelle,bus stop
Schweden,Sweden <.se>
Fans,sb. fans
Integration,integration
langsam,slow
weiße,whiteness
spielen,play
Besucher,visitor
Bürger,civic
Name,name
Gegner,opponent
schön,beautiful
hamburg,Hamburg [attr.]
Pass,pass [exam]
Reise,"traveling [Am.] [attr.] [e.g. bag, alarmclock, companion, expenses]"
rote,learnt by rote [without much understanding]
weiß,white
Abenteuer,adventure
schweiz,Swiss
österreich,Austria <.at>
Leute,people
Gruppen,factional
Mietwagen,rental [Am.] [rented car]
Boot,boatful
Sehenswürdigkeiten,sights
Bus,bused [travelled by bus]
normal,ordinary
Heimwerker,do-it-yourself <DIY>
Gruppe,group
Menschen,hominal
Mitglieder,members
Mitgliedern,among the members
Mitglied,member
Person,-person [e.g. four-person family]
Milch,dairy
Deutsch,German <Ger.>
Zucker,sugar
meinem,at my bed
Babys,babies
Freunde,friends
Freundin,girlfriend <gf> [sweetheart or lover]
Fahrzeuge,vehicles
afrika,Africa
bayern,Bavaria
voll,full
Zug,tractive
Autos,cars
Busse,penance
Kleid,dress
Hosen,slacks
Knopf,buttony
Knöpfe,buttons
Spiegel,mirror
Küche,kitchen
Werkzeug,tool
neun,nine
acht,eight
Wohnort,residence
folge,followup
folgt,sth. ensues
gehört,heard
folgst,undefined method `css' for nil:NilClass
deinem,your
deiner,yours
gehörst,You deserve a box round the ears! [coll.]
gehören,belong
folgen,follow
helfen,help
hilft,sb. aids
helfe,heddle
danke,"Thanks! <THX, TX, THKS>"
rund,round
manche,some
dies,this
Orangen,oranges
Bücher,books
Katzen,feline
Eier,eggs
Äpfel,apples
Fische,Pisces <♓>
Essen,[we/they/you] eat
Kaffee,coffee
diese,these
jedes,each
diesen,[of this year]
jede,every
Balkon,balcony
Licht,light
kalt,cold
Bett,bed
erste,initial
Tee,tee-hee [snigger]
Fisch,fish [attr.]
Menü,menu [gastr.: dishes served]
Erdbeere,strawberry
Mutter,mutter
Tochter,slave [attr.]
Beziehung,relationship
Bettbezug,double sheets
richtig,real
Tisch,"table [attr.] [e.g. decoration, linen, football]"
dritte,third <3rd>
Telefonnummer,call number
ersten,first-rate
Zahlen,pay
Zahl,figure
Röcke,skirts
Jacke,coat
Kartoffeln,potatoes
Hunde,canine
Tomaten,tomato [attr.]
Hund,canine
spielt,That's not on. [Br.] [coll.]
bezahlt,paid <pd>
waschen,wash sth.
Schmuck,spruce
Tasche,bag
Schuhe,shoes
Schlüssel,"key [attr.] [also fig.: pivotal, crucial]"
ihre,"her [determiner] [e.g. her sister, her address, her parents]"
euren,yours
Beziehungen,relationships
Geschwister,sibling
Großeltern,grandparents
Insekt,insect [class Insecta]
sieht,sb. sees
Wohnung,flat [esp. Br.]
Bad,bad
Tür,door
Fenster,windowed
Möbel,furniture
kenne,sb./sth. knows [reported speech]
brauche,just what I need
Sohn,son
Vegetarier,vegetarian
Frühstück,breakfast
schläft,sb. naps
Tomate,tomato
Nudeln,stuff
Haustier,pet
Biene,"bee [unranked, Anthophila or Apiformes]"
Großvater,grandfather
Fleisch,meat
Abendessen,have dinner
Getränk,drink
unser,our [determiner]
seine,"his [determiner, +female]"
bringe,I can't face it.
rennt,sth. stampedes
renne,undefined method `css' for nil:NilClass
bringt,sb. brings
gehst,"thou goest [archaic, poet.]"
gehe,Go!
geht,sb. goes
beginnt,sb./sth. commences
lest,lest [formal] [example: I was frightened lest he should fall.]
bezahle,Pay as you drive. <PAYD>
schreibt,sb. writes
laufen,run
seht,See? [said to two or more other people]
schlafe,The bed on which I'm sleeping ...
läuft,sb./sth. runs
mögen,[we/they/you] like
mag,sb. may [is possibly]
Orangensaft,orange juice
schreibe,writing
magst,[you] like
schläfst,Are you asleep?
siehst,See? [said to one other person]
schlafen,sleep
spielst,Are you game?
laufe,in the course of
Käse,cheesy
Gemüse,vegetable
Obst,fruit
Reis,rice
Speisekarte,menu
Vogel,bird
Apfelsaft,cider [unfermented]
Orange,orange
Ei,Well!
Suppe,soup
